 	0
africa.1	1
africa.10	2
africa.11	3
africa.12	4
africa.13	5
africa.14	6
africa.15	7
africa.16	8
africa.17	9
africa.18	10
africa.19	11
africa.2	12
africa.20	13
africa.21	14
africa.22	15
africa.23	16
africa.24	17
africa.25	18
africa.26	19
africa.27	20
africa.28	21
africa.29	22
africa.3	23
africa.30	24
africa.31	25
africa.32	26
africa.33	27
africa.34	28
africa.35	29
africa.36	30
africa.37	31
africa.38	32
africa.39	33
africa.4	34
africa.40	35
africa.41	36
africa.42	37
africa.43	38
africa.44	39
africa.45	40
africa.46	41
africa.47	42
africa.48	43
africa.49	44
africa.5	45
africa.50	46
africa.51	47
africa.52	48
africa.53	49
africa.54	50
africa.55	51
africa.56	52
africa.57	53
africa.58	54
africa.59	55
africa.6	56
africa.60	57
africa.61	58
africa.62	59
africa.63	60
africa.64	61
africa.65	62
africa.66	63
africa.67	64
africa.68	65
africa.69	66
africa.7	67
africa.70	68
africa.71	69
africa.72	70
africa.73	71
africa.74	72
africa.8	73
africa.9	74
asia.1	75
asia.10	76
asia.11	77
asia.12	78
asia.13	79
asia.14	80
asia.15	81
asia.16	82
asia.17	83
asia.18	84
asia.19	85
asia.2	86
asia.20	87
asia.21	88
asia.22	89
asia.23	90
asia.24	91
asia.25	92
asia.26	93
asia.27	94
asia.28	95
asia.29	96
asia.3	97
asia.30	98
asia.31	99
asia.32	100
asia.33	101
asia.34	102
asia.35	103
asia.36	104
asia.37	105
asia.38	106
asia.39	107
asia.4	108
asia.40	109
asia.41	110
asia.42	111
asia.43	112
asia.44	113
asia.45	114
asia.46	115
asia.47	116
asia.48	117
asia.49	118
asia.5	119
asia.50	120
asia.51	121
asia.52	122
asia.53	123
asia.54	124
asia.55	125
asia.56	126
asia.57	127
asia.58	128
asia.59	129
asia.6	130
asia.60	131
asia.61	132
asia.62	133
asia.63	134
asia.64	135
asia.65	136
asia.66	137
asia.67	138
asia.68	139
asia.69	140
asia.7	141
asia.70	142
asia.71	143
asia.72	144
asia.73	145
asia.74	146
asia.75	147
asia.76	148
asia.77	149
asia.78	150
asia.79	151
asia.8	152
asia.80	153
asia.81	154
asia.82	155
asia.83	156
asia.9	157
britain.1	158
britain.10	159
britain.100	160
britain.11	161
britain.12	162
britain.13	163
britain.14	164
britain.15	165
britain.16	166
britain.17	167
britain.18	168
britain.19	169
britain.2	170
britain.20	171
britain.21	172
britain.22	173
britain.23	174
britain.24	175
britain.25	176
britain.26	177
britain.27	178
britain.28	179
britain.29	180
britain.3	181
britain.30	182
britain.31	183
britain.32	184
britain.33	185
britain.34	186
britain.35	187
britain.36	188
britain.37	189
britain.38	190
britain.39	191
britain.4	192
britain.40	193
britain.41	194
britain.42	195
britain.43	196
britain.44	197
britain.45	198
britain.46	199
britain.47	200
britain.48	201
britain.49	202
britain.5	203
britain.50	204
britain.51	205
britain.52	206
britain.53	207
britain.54	208
britain.55	209
britain.56	210
britain.57	211
britain.58	212
britain.59	213
britain.6	214
britain.60	215
britain.61	216
britain.62	217
britain.63	218
britain.64	219
britain.65	220
britain.66	221
britain.67	222
britain.68	223
britain.69	224
britain.7	225
britain.70	226
britain.71	227
britain.72	228
britain.73	229
britain.74	230
britain.75	231
britain.76	232
britain.77	233
britain.78	234
britain.79	235
britain.8	236
britain.80	237
britain.81	238
britain.82	239
britain.83	240
britain.84	241
britain.85	242
britain.86	243
britain.87	244
britain.88	245
britain.89	246
britain.9	247
britain.90	248
britain.91	249
britain.92	250
britain.93	251
britain.94	252
britain.95	253
britain.96	254
britain.97	255
britain.98	256
britain.99	257
eu.1	258
eu.10	259
eu.100	260
eu.101	261
eu.102	262
eu.103	263
eu.104	264
eu.105	265
eu.106	266
eu.107	267
eu.108	268
eu.109	269
eu.11	270
eu.110	271
eu.111	272
eu.112	273
eu.12	274
eu.13	275
eu.14	276
eu.15	277
eu.16	278
eu.17	279
eu.18	280
eu.19	281
eu.2	282
eu.20	283
eu.21	284
eu.22	285
eu.23	286
eu.24	287
eu.25	288
eu.26	289
eu.27	290
eu.28	291
eu.29	292
eu.3	293
eu.30	294
eu.31	295
eu.32	296
eu.33	297
eu.34	298
eu.35	299
eu.36	300
eu.37	301
eu.38	302
eu.39	303
eu.4	304
eu.40	305
eu.41	306
eu.42	307
eu.43	308
eu.44	309
eu.45	310
eu.46	311
eu.47	312
eu.48	313
eu.49	314
eu.5	315
eu.50	316
eu.51	317
eu.52	318
eu.53	319
eu.54	320
eu.55	321
eu.56	322
eu.57	323
eu.58	324
eu.59	325
eu.6	326
eu.60	327
eu.61	328
eu.62	329
eu.63	330
eu.64	331
eu.65	332
eu.66	333
eu.67	334
eu.68	335
eu.69	336
eu.7	337
eu.70	338
eu.71	339
eu.72	340
eu.73	341
eu.74	342
eu.75	343
eu.76	344
eu.77	345
eu.78	346
eu.79	347
eu.8	348
eu.80	349
eu.81	350
eu.82	351
eu.83	352
eu.84	353
eu.85	354
eu.86	355
eu.87	356
eu.88	357
eu.89	358
eu.9	359
eu.90	360
eu.91	361
eu.92	362
eu.93	363
eu.94	364
eu.95	365
eu.96	366
eu.97	367
eu.98	368
eu.99	369
intl.1	370
intl.10	371
intl.11	372
intl.12	373
intl.13	374
intl.14	375
intl.15	376
intl.16	377
intl.17	378
intl.18	379
intl.19	380
intl.2	381
intl.20	382
intl.21	383
intl.22	384
intl.23	385
intl.24	386
intl.25	387
intl.26	388
intl.27	389
intl.28	390
intl.29	391
intl.3	392
intl.30	393
intl.31	394
intl.32	395
intl.33	396
intl.34	397
intl.35	398
intl.36	399
intl.37	400
intl.38	401
intl.4	402
intl.5	403
intl.6	404
intl.7	405
intl.8	406
intl.9	407
la.1	408
la.10	409
la.11	410
la.12	411
la.13	412
la.14	413
la.15	414
la.16	415
la.17	416
la.18	417
la.19	418
la.2	419
la.20	420
la.21	421
la.22	422
la.23	423
la.24	424
la.25	425
la.26	426
la.27	427
la.28	428
la.29	429
la.3	430
la.30	431
la.31	432
la.32	433
la.33	434
la.34	435
la.35	436
la.36	437
la.37	438
la.38	439
la.39	440
la.4	441
la.40	442
la.41	443
la.42	444
la.43	445
la.44	446
la.45	447
la.46	448
la.47	449
la.48	450
la.49	451
la.5	452
la.50	453
la.51	454
la.52	455
la.53	456
la.54	457
la.55	458
la.56	459
la.57	460
la.58	461
la.59	462
la.6	463
la.60	464
la.61	465
la.62	466
la.63	467
la.64	468
la.65	469
la.66	470
la.7	471
la.8	472
la.9	473
na.1	474
na.10	475
na.11	476
na.12	477
na.13	478
na.14	479
na.15	480
na.16	481
na.17	482
na.18	483
na.19	484
na.2	485
na.20	486
na.21	487
na.22	488
na.23	489
na.24	490
na.25	491
na.26	492
na.27	493
na.28	494
na.29	495
na.3	496
na.30	497
na.31	498
na.32	499
na.33	500
na.34	501
na.35	502
na.36	503
na.37	504
na.38	505
na.39	506
na.4	507
na.40	508
na.41	509
na.42	510
na.43	511
na.44	512
na.45	513
na.46	514
na.47	515
na.48	516
na.49	517
na.5	518
na.50	519
na.51	520
na.52	521
na.53	522
na.54	523
na.55	524
na.56	525
na.57	526
na.58	527
na.59	528
na.6	529
na.60	530
na.7	531
na.8	532
na.9	533
onion.1	534
onion.10	535
onion.100	536
onion.101	537
onion.102	538
onion.103	539
onion.104	540
onion.105	541
onion.106	542
onion.107	543
onion.108	544
onion.109	545
onion.11	546
onion.110	547
onion.111	548
onion.112	549
onion.113	550
onion.114	551
onion.115	552
onion.116	553
onion.117	554
onion.118	555
onion.119	556
onion.12	557
onion.120	558
onion.121	559
onion.122	560
onion.123	561
onion.124	562
onion.125	563
onion.126	564
onion.127	565
onion.128	566
onion.129	567
onion.13	568
onion.130	569
onion.131	570
onion.132	571
onion.133	572
onion.134	573
onion.135	574
onion.136	575
onion.137	576
onion.138	577
onion.139	578
onion.14	579
onion.140	580
onion.141	581
onion.142	582
onion.143	583
onion.144	584
onion.145	585
onion.146	586
onion.147	587
onion.148	588
onion.149	589
onion.15	590
onion.150	591
onion.151	592
onion.152	593
onion.153	594
onion.154	595
onion.155	596
onion.156	597
onion.157	598
onion.158	599
onion.159	600
onion.16	601
onion.160	602
onion.161	603
onion.162	604
onion.163	605
onion.164	606
onion.165	607
onion.166	608
onion.167	609
onion.168	610
onion.169	611
onion.17	612
onion.170	613
onion.171	614
onion.172	615
onion.173	616
onion.174	617
onion.175	618
onion.176	619
onion.177	620
onion.178	621
onion.179	622
onion.18	623
onion.180	624
onion.181	625
onion.182	626
onion.183	627
onion.184	628
onion.185	629
onion.186	630
onion.187	631
onion.188	632
onion.189	633
onion.19	634
onion.190	635
onion.191	636
onion.192	637
onion.2	638
onion.20	639
onion.21	640
onion.22	641
onion.23	642
onion.24	643
onion.25	644
onion.26	645
onion.27	646
onion.28	647
onion.29	648
onion.3	649
onion.30	650
onion.31	651
onion.32	652
onion.33	653
onion.34	654
onion.35	655
onion.36	656
onion.37	657
onion.38	658
onion.39	659
onion.4	660
onion.40	661
onion.41	662
onion.42	663
onion.43	664
onion.44	665
onion.45	666
onion.46	667
onion.47	668
onion.48	669
onion.49	670
onion.5	671
onion.50	672
onion.51	673
onion.52	674
onion.53	675
onion.54	676
onion.55	677
onion.56	678
onion.57	679
onion.58	680
onion.59	681
onion.6	682
onion.60	683
onion.61	684
onion.62	685
onion.63	686
onion.64	687
onion.65	688
onion.66	689
onion.67	690
onion.68	691
onion.69	692
onion.7	693
onion.70	694
onion.71	695
onion.72	696
onion.73	697
onion.74	698
onion.75	699
onion.76	700
onion.77	701
onion.78	702
onion.79	703
onion.8	704
onion.80	705
onion.81	706
onion.82	707
onion.83	708
onion.84	709
onion.85	710
onion.86	711
onion.87	712
onion.88	713
onion.89	714
onion.9	715
onion.90	716
onion.91	717
onion.92	718
onion.93	719
onion.94	720
onion.95	721
onion.96	722
onion.97	723
onion.98	724
onion.99	725
