 	0
Reuters	1
Are	2
the	3
latest	4
terrorist	5
bombs	6
in	7
north	8
Africa	9
homegrown	10
inspired	11
by	12
alQaeda	13
or	14
actually	15
organised	16
it	17
THE	18
that	19
shook	20
Algiers	21
and	22
ripped	23
faade	24
off	25
prime	26
ministers	27
office	28
this	29
week	30
killing	31
some	32
30	33
people	34
suggest	35
a	36
worrying	37
resurgence	38
of	39
countrys	40
Islamist	41
militants	42
since	43
they	44
rebranded	45
themselves	46
as	47
alQaedas	48
official	49
arm	50
Maghreb	51
This	52
weeks	53
counterattack	54
on	55
bombers	56
Morocco	57
raises	58
similar	59
questions	60
But	61
were	62
probably	63
different	64
sorts	65
terrorists	66
There	67
is	68
no	69
presumption	70
yet	71
has	72
effectively	73
activated	74
joint	75
African	76
front	77
though	78
would	79
surely	80
like	81
to	82
do	83
so	84
It	85
first	86
time	87
years	88
Algerias	89
capital	90
been	91
attacked	92
such	93
scale	94
Earlier	95
year	96
there	97
shootings	98
Tunisia	99
In	100
four	101
suicide	102
died	103
Casablanca	104
cornered	105
security	106
forces	107
while	108
several	109
other	110
plots	111
Europe	112
have	113
linked	114
America	115
worries	116
vast	117
ungoverned	118
spaces	119
Sahara	120
desert	121
could	122
provide	123
sanctuary	124
for	125
jihadists	126
For	127
moment	128
biggest	129
danger	130
Algeria	131
where	132
hardened	133
brutal	134
insurgency	135
following	136
an	137
election	138
victory	139
1991	140
annulled	141
army	142
at	143
least	144
100000	145
killed	146
before	147
civil	148
war	149
dwindled	150
but	151
did	152
not	153
entirely	154
die	155
out	156
after	157
1999	158
The	159
Salafist	160
Group	161
Preaching	162
Combat	163
better	164
known	165
its	166
French	167
acronym	168
GSPC	169
emerged	170
insurgencys	171
forefront	172
hard	173
hit	174
losing	175
fighters	176
thanks	177
government	178
amnesties	179
group	180
long	181
allied	182
itself	183
last	184
autumn	185
announced	186
formal	187
merger	188
with	189
On	190
anniversary	191
September	192
11th	193
attacks	194
Ayman	195
alZawahiri	196
deputy	197
leader	198
declared	199
union	200
be	201
thorn	202
neck	203
American	204
Crusaders	205
their	206
allies	207
January	208
renamed	209
Organisation	210
Islamic	211
echoing	212
what	213
late	214
Abu	215
Musab	216
alZarqawi	217
called	218
his	219
Iraq	220
rumours	221
Libyan	222
Fighting	223
another	224
ally	225
set	226
join	227
Western	228
monitors	229
say	230
causing	231
rift	232
between	233
those	234
wanting	235
fight	236
Muammar	237
Qaddafis	238
regime	239
exiles	240
hiding	241
Pakistan	242
who	243
want	244
large	245
Is	246
all	247
just	248
propaganda	249
revive	250
flagging	251
spirits	252
insurgents	253
opening	254
new	255
global	256
jihad	257
Two	258
bomb	259
against	260
foreign	261
oil	262
workers	263
hint	264
adopted	265
policy	266
foreigners	267
bombings	268
are	269
more	270
keeping	271
GSPCs	272
tradition	273
hitting	274
Algerian	275
state	276
Still	277
methods	278
evident	279
seven	280
nearsimultaneous	281
February	282
apparent	283
use	284
suicidebombers	285
rare	286
tactic	287
Many	288
Africans	289
joined	290
Iraqs	291
veterans	292
apparently	293
returning	294
wage	295
home	296
stirring	297
next	298
door	299
far	300
seem	301
less	302
proficient	303
than	304
cousins	305
Last	306
King	307
Muhammad	308
ended	309
military	310
conscription	311
reorganised	312
much	313
apparatus	314
Islamists	315
infiltrated	316
armed	317
trial	318
50	319
accused	320
trying	321
overthrow	322
monarchy	323
due	324
begin	325
May	326
Separately	327
unravelling	328
web	329
said	330
planning	331
suicidebomb	332
ships	333
hotels	334
police	335
buildings	336
got	337
lucky	338
break	339
month	340
when	341
groups	342
suspected	343
into	344
row	345
owner	346
internet	347
caf	348
objected	349
him	350
reading	351
jihadist	352
sites	353
locked	354
tried	355
call	356
arrested	357
24	358
suspects	359
Then	360
early	361
April	362
10th	363
surrounded	364
safe	365
house	366
city	367
One	368
man	369
blew	370
himself	371
up	372
witnesses	373
was	374
cloud	375
red	376
mist	377
second	378
shot	379
dead	380
he	381
fumbled	382
belt	383
others	384
escaped	385
later	386
gang	387
had	388
freed	389
from	390
prison	391
under	392
pardon	393
2005	394
being	395
jailed	396
wave	397
suicidebombings	398
45	399
2003	400
Moroccos	401
communications	402
minister	403
says	404
external	405
links	406
really	407
appears	408
amateur	409
explosives	410
we	411
found	412
them	413
caches	414
discovered	415
basic	416
homemade	417
household	418
items	419
Maybe	420
involvement	421
still	422
uncertain	423
And	424
ideology	425
waging	426
West	427
appeals	428
strongly	429
bombing	430
Arab	431
civilian	432
targetsfor	433
instance	434
Jordan	435
2005has	436
stirred	437
widespread	438
local	439
revulsion	440
Will	441
same	442
Zimbabweans	443
opt	444
hardship	445
South	446
rather	447
hopelessness	448
ON	449
A	450
dirt	451
road	452
Weipe	453
farming	454
area	455
banks	456
Limpopo	457
river	458
about	459
60km	460
37	461
miles	462
west	463
busy	464
Beitbridge	465
border	466
post	467
few	468
cars	469
waiting	470
Unemployed	471
try	472
make	473
bit	474
money	475
driving	476
Zimbabweanseither	477
locally	478
employed	479
freshly	480
arrived	481
across	482
riverwherever	483
go	484
business	485
many	486
immigrants	487
also	488
risk	489
transporting	490
without	491
visas	492
When	493
car	494
duly	495
arrives	496
bystanders	497
hoping	498
ride	499
quickly	500
vanish	501
bush	502
friendly	503
policemen	504
stop	505
vehicles	506
past	507
checking	508
passengers	509
papers	510
Six	511
illegal	512
picked	513
ushered	514
They	515
will	516
driven	517
base	518
south	519
Musina	520
nearby	521
town	522
deported	523
within	524
hours	525
Nick	526
van	527
der	528
Vyver	529
heads	530
Genevabased	531
International	532
Migration	533
Zimbabwean	534
side	535
average	536
570	537
cross	538
threshold	539
every	540
day	541
figure	542
higher	543
smaller	544
number	545
get	546
caught	547
Of	548
most	549
back	550
days	551
sealing	552
over	553
200km	554
almost	555
impossible	556
add	557
thousands	558
legally	559
both	560
directions	561
numbers	562
desperation	563
determination	564
impoverished	565
fleeing	566
country	567
collapsing	568
around	569
Over	570
3m	571
thought	572
left	573
homeland	574
population	575
13m	576
already	577
friends	578
relations	579
economic	580
opportunities	581
presumed	582
best	583
these	584
emigrants	585
now	586
problems	587
beyond	588
At	589
dry	590
making	591
easy	592
foot	593
rainy	594
season	595
dreaming	596
life	597
drown	598
surging	599
waters	600
occasionally	601
crocodiles	602
Almost	603
dangerous	604
offer	605
help	606
often	607
rob	608
blind	609
worse	610
crossing	611
only	612
beginning	613
Once	614
living	615
Some	616
find	617
jobs	618
farms	619
minimum	620
monthly	621
salaries	622
1000	623
rand	624
142	625
ten	626
times	627
teachers	628
salary	629
Zimbabwe	630
unofficial	631
exchange	632
rate	633
professionals	634
unable	635
survive	636
80	637
unemployment	638
inflation	639
heading	640
according	641
IMF	642
severe	643
shortages	644
meat	645
sugar	646
cooking	647
coming	648
An	649
association	650
Johannesburg	651
tries	652
3500	653
members	654
professional	655
certification	656
advice	657
Doctor	658
Ncube	659
chairman	660
believes	661
10000	662
Limkani	663
once	664
taught	665
secondary	666
school	667
Matabeleland	668
hauled	669
boxes	670
warehouse	671
75	672
came	673
Another	674
highschool	675
teacher	676
speaks	677
onebedroom	678
flat	679
shares	680
His	681
work	682
permit	683
means	684
among	685
ones	686
struggling	687
win	688
needs	689
letter	690
authorities	691
which	692
stationery	693
cannot	694
even	695
afford	696
housing	697
central	698
Methodist	699
church	700
become	701
refuge	702
night	703
building	704
bursts	705
sleeping	706
inch	707
floor	708
must	709
share	710
six	711
lavatories	712
salesman	713
He	714
finds	715
occasional	716
guard	717
70	718
Like	719
sends	720
groceries	721
wife	722
children	723
whenever	724
can	725
majority	726
leave	727
because	728
ends	729
meet	730
escaping	731
political	732
persecution	733
Pianos	734
43yearold	735
opposition	736
Movement	737
Democratic	738
Change	739
MDC	740
shows	741
multiple	742
scars	743
face	744
legs	745
knees	746
beatings	747
received	748
progovernment	749
youth	750
militia	751
fled	752
gathering	753
March	754
during	755
leaders	756
beaten	757
obtain	758
asylum	759
if	760
successful	761
take	762
yearsand	763
remain	764
things	765
improve	766
meantime	767
problem	768
hands	769
With	770
26	771
closer	772
40	773
measures	774
hardly	775
absorb	776
flow	777
locals	778
feel	779
competing	780
scarce	781
adding	782
crime	783
although	784
evidence	785
support	786
Alliance	787
wants	788
refugee	789
camps	790
disagrees	791
saying	792
migrants	793
refugees	794
Africas	795
heavily	796
criticised	797
doing	798
hasten	799
end	800
President	801
Robert	802
Mugabes	803
disastrous	804
excuses	805
pushing	806
harder	807
fear	808
precipitating	809
crisis	810
adversely	811
affect	812
escape	813
conclusion	814
damage	815
done	816
Kurds	817
THIS	818
death	819
sentence	820
Ali	821
Hassan	822
alMajid	823
architect	824
Anfal	825
Spoils	826
campaign	827
19871988	828
whom	829
180000	830
may	831
does	832
mark	833
affair	834
After	835
months	836
gassing	837
deportations	838
mass	839
graves	840
special	841
tribunal	842
Chemical	843
Saddam	844
Husseins	845
cousin	846
widely	847
guilty	848
various	849
heinous	850
crimes	851
including	852
significantly	853
genocide	854
Nechirvan	855
Barzani	856
Kurdistan	857
region	858
tribunals	859
definition	860
step	861
operation	862
recognised	863
rest	864
world	865
well	866
international	867
bodies	868
UN	869
sought	870
recognition	871
separate	872
acknowledgement	873
gas	874
attack	875
Halabja	876
5000odd	877
1988	878
mid1990s	879
New	880
Yorkbased	881
lobby	882
Human	883
Rights	884
Watch	885
HRW	886
documented	887
razing	888
3000plus	889
Kurdish	890
villages	891
bring	892
issue	893
Security	894
Council	895
too	896
big	897
countries	898
backed	899
move	900
decision	901
Iraqi	902
court	903
unlikely	904
give	905
momentum	906
need	907
outsiders	908
question	909
independence	910
fairness	911
Baghdad	912
unclear	913
how	914
compatriots	915
Sunni	916
Arabs	917
privately	918
deserved	919
sided	920
Iran	921
1980san	922
argument	923
used	924
Mr	925
Majid	926
1990s	927
Kanan	928
Makiya	929
Shia	930
book	931
Cruelty	932
Silence	933
lambasted	934
politicians	935
intellectuals	936
silence	937
regimes	938
brutalities	939
reaction	940
muttered	941
PanArab	942
satellite	943
television	944
channels	945
covered	946
verdict	947
commentators	948
newspapers	949
dwelt	950
little	951
murders	952
condemned	953
politician	954
paid	955
price	956
telling	957
Israelis	958
unpalatable	959
truths	960
ABROAD	961
reputation	962
tireless	963
peacemaker	964
byword	965
failure	966
Yossi	967
Beilin	968
down	969
head	970
leftliberal	971
Meretz	972
party	973
leadership	974
spring	975
palpable	976
sighs	977
relief	978
rivals	979
hope	980
chance	981
remembered	982
bold	983
statesmanship	984
instead	985
defective	986
one	987
mainstream	988
Israeli	989
push	990
accept	991
Palestinians	992
independent	993
largely	994
serious	995
peace	996
talks	997
going	998
Israel	999
talking	1000
Palestinian	1001
attempt	1002
circumvent	1003
exiled	1004
Yasser	1005
Arafat	1006
Palestine	1007
Liberation	1008
Tunis	1009
argued	1010
youthful	1011
dismissed	1012
incorrigible	1013
worthless	1014
backing	1015
Shimon	1016
Peres	1017
encouraged	1018
secret	1019
meetings	1020
Oslo	1021
aide	1022
two	1023
activists	1024
led	1025
eventually	1026
famous	1027
handshake	1028
